qid,article_id,question,context,gold_answer
NEWS_0221_Q5,NEWS_0221,Who is fast-tracking to get married?,"LONDON, England (CNN) -- British reality TV star Jade Goody married Sunday after being told by doctors last week that her cancer is terminal. Jade Goody, pictured with fiance Jack Tweed Saturday,  before Sunday's wedding Goody, 27 tied the knot with boyfriend Jack Tweed, 21, in Hatfield Heath, Essex, east of London, UK media reported. After the ceremony Max Clifford, the couple's publicist, told waiting reporters that there had been ""lots of tears and smiles and laughter"" and that the congregation gave the newlyweds a standing ovation after the signing of the register. Goody sprung to fame in ""Big Brother"" in 2002, going on to launch a range of her own products and host TV shows. But her return to the celebrity edition of the show in 2007 ended in international ignominy, after her taunting of Indian Bollywood star Shilpa Shetty. Goody's behavior resulted in more than 40,000 complaints and sparked protests in India.  Shetty said last week that she was unable to attend the wedding due to filming commitments but was praying for Goody. Read blog about how media covered wedding In August 2008 Goody appeared on the Indian version of ""Big Brother,"" only to fly home after she was diagnosed with cervical cancer. News of Goody's condition has sparked massive interest in the UK, both from the media -- which bid for rights to her story -- and among the public, who have contacted charities for information about cervical cancer. Critics have attacked Goody's decision to sell rights to what may be her final weeks, although the star has told British media that she wants to leave her children by a previous relationship -- sons, Bobby, five, and Freddie, four -- financially secure. Watch Jade Goody's wedding preparations » But Clifford told ITN: ""Ironically, a big part of what she's doing now is to fund her children's education. To give them the education she never had."" Charity Cancer Research UK said in a statement earlier this month that daily visits to its Web site had increased two- to three-fold since news of Goody's illness was announced. ""The publicity around Jade's diagnosis has led many more people to ask questions and seek information about cervical cancer,"" spokeswoman Emma Gilgunn-Jones said. Shetty, writing on her blog earlier this week, said that Goody had invited her to the wedding but had been unable to attend due to filming commitments in Kuala Lumpur, Malaysia. ""Read an article on Jade Goody's deteriorating condition,"" wrote Shetty. ""It disturbed me 'cause the last time I spoke to her, she seemed very positive and we were all expecting that the doctors would be able to curb the cancer from spreading. This piece of news came as a shock - so I called her hoping it was only a rumor but she confirmed it. Shetty added that she was praying for Goody and that she hoped God ""gives her the strength to cope with this pain."" ""She wants the best for her kids,"" Shetty wrote. ""I hope Jack makes a good father to them. I also hope for a miracle to happen for her children's sake."" On Friday the UK's Ministry of Justice said it would allow Tweed, who was jailed in September 2008 for assault, to spend his wedding night with his bride, the Press Association reported. ""We are absolutely thrilled,"" the agency reported Clifford as saying. ""It will be the dream finish to her dream day, and it makes so much difference. Tweed, who was released early from jail in January, has to wear a tag and is subject to a 1900 GMT curfew. ""We'll get married if I have to drag her wheelchair down the aisle,"" he told ITN last week. The wedding dress, which media reports say included a pouch to hold Goody's medication, was donated by Harrods owner Mohamed al Fayed.  Goody's bridesmaids were seen with the TV star Saturday, wearing plastic bald caps in a show of solidarity at the impact of her",Jade Goody
NEWS_0916_Q3,NEWS_0916,What did the Los Angeles Times music critic call Dudamel?,"LOS ANGELES, California (CNN) -- He got a standing ovation before the orchestra even played a single note. Gustavo Dudamel has been compared to the legendary Leonard Bernstein by one critic. For weeks now, anticipation has been growing for the arrival of fiery young Venezuelan conductor Gustavo Dudamel to take over the Los Angeles Philharmonic, and the crowd couldn't wait to roar its approval at his arrival. Dudamel, 28, engenders a passion among music lovers that is entirely new to the world of classical music. Tickets for his Saturday debut as music director of the Los Angeles Philharmonic disappeared within minutes -- the fastest sellout in the history of the 18,000-seat Hollywood Bowl. ""He is a phenomenon,"" said Mark Swed, Los Angeles Times music critic. ""He generates excitement the likes of which hasn't come around in a very, very long time -- maybe since Leonard Bernstein.""  Watch the exciting Dudamel wield the baton » Swed was in the audience two years ago when Dudamel conducted the Simon Bolivar Youth Orchestra at the Walt Disney Concert Hall, delivering a reading of Beethoven's Fourth Symphony that left fans delirious. ""I haven't seen that kind of reaction from a crowd since I saw the Beatles at Dodger Stadium,"" Swed said. Dudamel's face has been a common sight for months in Los Angeles. His billboards look down on freeway commuters. He adorns city buses. At the famous Hollywood hot dog stand Pink's, there is even a dog named in his honor -- the ""Dude Dog,"" piled high with jalapeno peppers, guacamole and tortilla chips. While it's not exactly Venezuelan cuisine, in Los Angeles, there can be no surer sign that the conductor known as ""The Dude"" has arrived. So where did Dudamel get this musical magic? He said at least a part of his talent is inherited. ""I started studying music when I was 4,"" he said. ""I wanted to play trombone like my father."" Soon young Gustavo entered into El Sistema, Venezuela's state-financed music education program. Hundreds of thousands of children have received instruments and music instruction through the nation's massive system of youth orchestras. ""You cannot imagine,"" said Dudamel, ""how it changes the life of a kid if you put a violin or a cello or a flute [in his hand]. You feel you have your world. You have your life there, and it changes your life. This happened to me."" As music director of the philharmonic, Dudamel said he hopes to spread a little of the El Sistema magic in Los Angeles. He already has organized one youth orchestra in the run-down neighborhoods of south Los Angeles. Those music students opened for the orchestra at the Hollywood Bowl. The concert also featured student musicians playing alongside jazz legend Herbie Hancock. Cuban pianist Alfredo Rodriguez and bluesman Taj Mahal rounded out an eclectic bill designed to pull in a broad cross-section of music lovers. But it was Dudamel and Beethoven's Ninth Symphony that brought the crowd to its feet at the concert's end. It was a promising beginning for a man many are hailing as the savior of classical music. They hope Dudamel can bring a whole new audience to symphonic music, and believe the Los Angeles Philharmonic is the perfect podium for the young maestro. ""He fits in with this town in a lot of ways,"" Swed said. ""Obviously being Spanish-speaking in a city where the majority of people either speak Spanish or understand some Spanish ... you know he fits in. The youth culture? He is young. He is also great, which doesn't hurt.""","a phenomenon,"""
NEWS_0158_Q1,NEWS_0158,what is happening with wall street,"(CNN) -- Gordon Gekko-inspired suspenders may have faded from Wall Street and lunch isn't for wimps anymore, but if there's one thing that hasn't changed in the last two decades it's this: greed is good. 

With his new film director Oliver Stone is back to exposing financial chicanery, this time showcasing how complex and unfettered the system has become since his 1987 hit film ""Wall Street."" 

What did he find when he returned to the scene after more than two decades? After years of bank deregulation, Wall Street ""got ridiculous, and I mean it's insane. It became a financial casino,"" he told CNN. 

That outrageous environment serves as the backdrop for ""Wall Street 2: Money Never Sleeps,"" a follow-up film which, amid massive bank bailouts, sweeping financial reform in Washington and investigations into the practices of Wall Street's leading firms, couldn't be more timely. 

In the movie, Michael Douglas reprises the role of corporate shark Gordon Gekko. Fresh out of prison, he finds himself in a new financial era dominated by complex products and securities. 

""Money Never Sleeps,"" which is slated for release in September, is a ""bookend"" rather than a sequel, to the 1987 film, Stone says. 

Stone, whose father worked on Wall Street as a broker, set out to tell a morality tale about excess in the original film, with Gekko positioned as the bad guy. 

But judging by the recent financial crisis, not many Wall Streeters took Stone's message to heart. Instead of being seen as a villain in the 1980s, Gekko became a paragon of success for a generation of traders and business school graduates. 

Douglas, who won a Best Actor Oscar for the first ""Wall Street,"" said he's always surprised at the reaction MBA students have to Gekko, the suspender-sporting character out to win at all costs. 

""They would come up to me and say, 'Hey Gordon, he's the man,'"" he told CNN at Cannes, where the film premiered earlier this month. ""And probably a lot of those guys...are heading up investing banking companies now,"" he said. 

In the follow up film, Gekko is looking to get back into the Wall Street game and finds a way through his estranged daughter's boyfriend, a young investment banker played by Shia LaBeouf. 

Joining the cast, which includes Susan Sarandon and Josh Brolin, was like ""stepping into a cage of lions,"" LaBeouf said. ""I felt like an underdog coming onto this set. I'm the 'Transformers,' kid. It's just like, it's daunting."" 

LaBeouf and Carey Mulligan, who plays Gekko's daughter, play a young couple with ideals. (The couple has also been linked together offscreen.) But their integrity is tested and ""everybody has double motives,"" Stone said. 

A director known for offering provocative viewpoints, particularly in political films like ""W,"" ""JFK"" and ""Nixon"" -- his next film, ""South of the Border,"" is about Venezuelan leader Hugo Chavez -- Stone initially wasn't interested in telling another story about Wall Street. 

When the producer of the original film and 20th Century Fox made a deal for a follow up film, Stone wasn't on board. ""I didn't event want to do a sequel and I turned them down,"" he said. 

What changed? The financial meltdown of 2008, which unleashed the worst crisis since the Great Depression and caused the economy to suffer in Stone's words, a ""triple bypass heart attack."" 

The financial crisis ""was an event of monumental importance socially, economically, for the United States,"" he said. ""It wasn't a perfect storm, it was a systematic breakdown that was due because it's the way the system is run."" 

While the director certainly harbors strong feelings about the financial system, he also had his fun with the film. He appears briefly, as does Charlie Sheen, who","It became a financial casino,"""
NEWS_0593_Q2,NEWS_0593,What is the film about?,"San Diego, California (CNN) -- Sometimes, a film is so powerful that it haunts you long after you've left the theater. Usually, it's because of the weight of the message. 

The film haunting me is ""The Blind Side."" And the message? I'll leave that to Leigh Anne Tuohy to explain. 

Tuohy and her husband, Sean, are the subjects of the new movie, ""The Blind Side."" The film is an adaptation of the 2006 book, ""The Blind Side: Evolution of a Game"" by Michael Lewis. 

It tells the incredible story of Michael Oher, who went from being a homeless inner-city high school student whose father was dead and whose mother was a crack addict to a star lineman at the University of Mississippi -- eventually being selected by the Baltimore Ravens in the 2009 NFL draft. The Ravens recently signed the 6-5, 309-pound Oher to a 5-year, $13.8 million contract. 

This American Dream is brought to us not just by Oher's talent, perseverance, and hard work but also by the fact that he was adopted by the Tuohys. The white, wealthy Memphis family not only fed and clothed Michael but also loved him as one of their own along with daughter Collins and son Sean Jr. 

The ""Blind Side"" is the No. 2 film in America, and the role of Leigh Anne Tuohy is played to perfection by Sandra Bullock. 

Still, some critics dismissed the film as hokey and condescending, with one calling it the latest chapter in Hollywood's ""long, troubled history of well-meaning white paternalism, with poor black athletes finding success through white charity."" 

They missed the point. Simply put, there's a lot that any one of us can do to improve the life of our fellow man. And the fact that we do it is its own reward. 

""He had a much greater impact on our lives than we did on his life,"" Leigh Anne said in a recent interview. ""You have this child, and you bring him in, and you realize how fortunate you are, how you're blessed to have family, you're blessed to have your health. So much in life you take for granted."" 

There's the message: So much in life you take for granted. We've forgotten how lucky we are, because we're busy cursing fate. We've stopped being grateful for what we have, because we somehow find it more satisfying to complain about what we don't. Until we meet someone who has much less than we do. 

So much in life you take for granted. 

As Americans, we've become victims of our own success. We've strayed so far from the example of our immigrant parents and grandparents that we bear no resemblance to that model. 

Weighed down by own bloated sense of entitlement and self-importance, we've lost our appetite for competition and we prefer to talk instead about what we think we ""deserve."" At the first sign of adversity, we play the victim, give up, or fall apart. With all the blessings that come with living in the world's most remarkable country, still we complain. We retreat. We whine. 

Here in the Golden State, thousands of students at the University of California turned out to protest a 32 percent fee increase. I wrote a column, expressing disappointment that these ""brats"" consider a publicized subsidized college education an entitlement and telling them to go get jobs if their education is that important to them. I heard back from many of their parents who, angrily rising to their children's defense, informed me -- in incompatible narratives -- that either there were no jobs or their kids already had two of them. 

How about that? Bratty parents. Apparently, in California, the apple doesn't fall far from the tree. 

After a few days of that noise, I was ready for a movie where, in one of the more poignant scenes, a young man is given his own bedroom and remarks that he's ""never had one","Michael Oher, who went from being a homeless inner-city high school student whose father was dead and whose mother was a crack addict to a star lineman at the University of Mississippi"
NEWS_0556_Q2,NEWS_0556,What  broke up in 1978?,"(CNN) -- Fashion designer Vivienne Westwood and members of the Sex Pistols have led tributes to the band's former manager Malcolm McLaren who died of cancer on Thursday aged 64. 

As manager of the Sex Pistols and owner, with his then-lover Westwood, of the Sex boutique in London during the mid-1970s, McLaren was considered one of the pioneers of the punk movement. 

""When we were young and I fell in love with Malcolm, I thought he was beautiful and I still do,"" Vivienne Westwood said in a written statement. 

Westwood's son with McLaren, Joe Corre, her other son, Ben Westwood, and McLaren's girlfriend, Young Kim, were with him when he died in Switzerland after a battle with mesothelioma. 

""I thought he is a very charismatic, special and talented person. The thought of him dead is really something very sad,"" said Westwood. 

The lead singer of the Sex Pistols, John Lydon, better known as Johnny Rotten, also paid tribute to the band's former manager. 

""For me, Malc was always entertaining, and I hope you remember that,"" Lydon said. ""Above all else, he was an entertainer, and I will miss him, and so should you."" 

McLaren and the Sex Pistols had a turbulent relationship during the band's brief, spectacular and controversial career. 

Originally known as the Strand, McLaren drafted in Lydon as lead singer and renamed the band the Sex Pistols. Lydon had been spotted wearing a Pink Floyd T-shirt with the words ""I hate"" added to it. 

The Sex Pistols' raucous public appearances and raging lyrics on songs like ""Anarchy in the UK"" and the sneering ""God Save the Queen"" -- which became a hit despite the BBC's refusal to play it -- made the band notorious on both sides of the Atlantic by 1977. 

The Sex Pistols broke up in 1978 after one studio album, in large part because of a feud between McLaren and Rotten, who walked off stage at the end of the band's last show declaring, ""Ever get the feeling you've been cheated?"" 

The band's surviving members have regrouped for periodic tours since 1996, but its official Web site still refers to McLaren as its ""(mis)manager."" 

McLaren went on to assemble the pop act Bow Wow Wow and record several albums of his own in the 1980s and '90s. 

CNN's Stephanie Halasz and Todd Leopold contributed to this report.",The Sex Pistols
NEWS_0118_Q5,NEWS_0118,What does John mayer have?,"(CNN) -- Acoustic rocker John Mayer has bowed out of a series of concerts after suffering from ""something next to my vocal cords called a granuloma,"" he said in a statement released Friday. 

The singer and songwriter said he had undergone months of monitoring, but the condition -- a small area of tissue inflammation that most often occurs in the lungs -- had prevented him from going ahead with the performances. 

""I'm bummed to have to bow out of both the iheartradio Music Festival in Las Vegas and an appearance with Tony Bennett in Los Angeles,"" he said in the statement. ""I know there were people depending on me to be there and I'm sorry that I can't be on those stages."" 

Mayer's soon-to-be-released album ""Born and Raised"" also will be delayed. 

It's ""complete as far as music recording, song selection, and in some cases mixing,"" he said. ""But because of this condition I couldn't finish singing on several of the tracks."" 

The album, as a result, will be released next year ""instead of this fall or winter."" 

""This is a temporary setback, though I'm not sure how long or short a period of time it will be,"" he said. ""I've got the best doctors in the country looking after me and I will be singing and touring again as soon as I get the all clear."" 

Mayer said he plans to spend the down time writing and composing, and ""kicking an empty soup can around the West Village.""","granuloma,"""
NEWS_0942_Q1,NEWS_0942,what Her final performance was a May 7?,"(CNN) -- The Queen of the Blues is dead. Koko Taylor performs in Spain in 2005. Her last performance was in May of this year. Koko Taylor, a West Tennessee sharecropper's daughter who went to Chicago, Illinois, with ""35 cents and a box of Ritz Crackers"" at 24 and wound up an award-winning blues legend, died Wednesday at her Chicago home at 80. She died of complications from a May 19 surgery for gastrointestinal bleeding, her Web site reported. Just days before the surgery, Taylor won her 29th Blues Music Award, picking up the trophy for Traditional Female Blues Artist Of the Year. She performed her signature song, ""Wang Dang Doodle,"" at the ceremony. Known for her powerful vocals, Taylor was inducted into the Blues Hall of Fame in 1997, won the Blues Foundation Lifetime Achievement Ward in 1999 and was awarded a National Endowment for the Arts National Heritage Fellowship in 2004. She also won a Grammy Award for Best Traditional Blues Album in 1985 for her album ""Queen of the Blues."" Taylor was born Cora Walton and picked up the nickname ""Koko"" because of her love of chocolate as a child. She also displayed a love of singing from an early age. She and her future husband, the late Robert ""Pops"" Taylor, traveled to Chicago in 1952, where Pops Taylor worked for a packing company while Koko Taylor cleaned houses. By night, the two roamed Chicago's blues clubs, where Koko Taylor sat in with top bands and was soon a popular guest artist. But it took 10 years for Koko Taylor to record on her own, after Willie Dixon got her signed to Chess Records and produced several singles, including ""Wang Dang Doodle."" Taylor landed a permanent home with Alligator Records when Chess was sold in 1975. Her final performance was the May 7 blues award show, but earlier in the year she performed at the Kennedy Center Honors program honoring actor Morgan Freeman. Throughout her lengthy career, she shared the stage with nearly every blues performer imaginable, from Junior Wells and B.B. King to Taj Mahal and Muddy Waters. She was a strong influence to later performers, including Bonnie Raitt and Janis Joplin. Survivors include Taylor's husband, Hays Harris, daughter Joyce Threatt, son-in-law Lee Threatt, grandchildren Lee Jr. and Wendy, and three great-grandchildren.","blues award show,"
NEWS_0527_Q4,NEWS_0527,Who's spokesman called the rumor a hoax?,"(CNN) -- Twitter was buzzing Thursday morning with news that several airlines are flying doctors and nurses to Haiti free of charge to help with relief efforts there in the wake of Tuesday's devastating earthquake. 

The only problem: The rumors are false, an American Airlines spokesman says. 

""Last night's hoax on Twitter about American and JetBlue flying doctors and nurses to Haiti for free was just that -- a hoax. We don't know who is responsible, but it's a very low thing to do,"" airline spokesman Tim Smith said in e-mails sent Thursday. 

Twitter users also circulated a rumor that UPS would ship for free any package under 50 lbs. to Haiti. In a blog post Wednesday on UPS's Web site, a spokeswoman debunked the rumor and said that destruction of Haiti's roads and communications networks ""means our own shipping services to Haiti are on hold."" 

UPS is donating $1 million to help the people of Haiti through relief agencies, she said. 

On Wednesday, American and American Eagle sent three planes to Port-au-Prince, Haiti's capital, carrying 30,000 pounds of water, food and other nonperishable goods for its more than 100 employees who work at the airport there and for assistance at Port-au-Prince hospitals, the airline said in a news release. 

Three more relief flights are planned from Puerto Rico to Haiti on Thursday, and an additional three for Friday, the airline said. 

""We've incentivized our 62 million AAdvantage members to give cash to Red Cross and receive bonus miles from us,"" Smith added. ""We cannot fly any passengers to Haiti at this time and our efforts on the humanitarian front are as described above."" 

A spokeswoman for JetBlue said the airline is flying relief workers from agencies such as the American Red Cross free of charge to Santo Domingo in the neighboring Dominican Republic, but only after they have been vetted by the Haitian Consulate. The consulate then arranges transportation for passengers from Santo Domingo to Port-au-Prince, she said. 

""There have been a lot of people mobilizing on Twitter asking for our support. And I think that's where these rumors are coming from,"" JetBlue spokeswoman Alison Croyle said. 

""We're not offering free transportation for just any doctors who walk up and want to fly there."" 

The American Airlines and JetBlue rumors erupted quickly on Twitter and other social networks, with people retweeting the Haitian Consulate's New York City phone number, which medical professionals could supposedly call for free flights. 

Calls overwhelmed the consulate, resulting in repeated busy signals for callers. 

But by late Thursday morning, word appeared to be spreading that the rumors were not true. 

Posted one user on Twitter about 10:30 a.m. ET: ""American Airline and Jet Blue Are NOT Flying doctors and nurses into Haiti for free. Do NOT call them.""",an American Airlines
NEWS_0347_Q4,NEWS_0347,What film is dominating advance ticket sales?,"New York (CNN) -- For Kenny Ortega, Travis Payne and Michael Bearden, ""It"" is a bittersweet feeling. The three men expected to be spending their time this summer and fall working on Michael Jackson's concert engagement at London's O2 Arena, which was scheduled to begin in July. Instead, they are talking about Jackson's last days and the new movie about that time, ""This Is It."" In an interview, they described ""This Is It,"" the movie that they've made from rehearsal and backstage footage of Jackson, shot just before he died June 25. The film, which has been dominating advance ticket sale outlets, opens wide on Wednesday. The full movie wasn't screened for critics, with only 12 minutes of footage available to the media before the interviews. But as  director Ortega describes it, the film tries to blend backstage footage with the performance to give an inside glimpse of those last days at the Staples Center in Los Angeles, California. The scenes show the superstar working on his dance moves, figuring out choreography, practicing on stage and running the show. From the clips, there's no question that Jackson was in charge. His physicality is vibrant: At one point, he dances with a troupe of top-notch hoofers and keeps up with all of them. There's no indication of the infirmities that would ultimately take his life. All three men -- Payne was the show's choreographer and Bearden its music supervisor -- stressed how they wanted this movie to represent the Jackson they knew. ""It was an honor project,"" Bearden said. According to Ortega, the film is for the fans. He said he was inundated with e-mails from fans wanting to know just what Jackson had planned for the concerts he would never give. Above all, they said they were concerned about Jackson's three children. They said that they wanted to make a film that his kids -- Prince Michael, Paris and ""Blanket"" -- would be able to see in years to come that would make them proud of their father. Though the men acknowledged a heavy responsibility, there were light moments during the interviews. Payne and Bearden both smiled as they talked about working for the King of Pop and how he'd try to tell people what he wanted. ""I know you mean well, but ...,"" Jackson would say as he corrected colleagues, they recalled. But all of them talked about he emotional toll that making this film has taken on them. There were ""a lot of tissue moments on this film,"" Bearden said. Watch a former Jackson guitarist reflect on his career Ortega added that he didn't know whether he could handle the emotional stress involved in making this movie so quickly. Ultimately, according to Ortega, the movie proved to be cathartic. ""I thought I'd collapse,"" Ortega said. ""I thought I'll never get through it, it's too hard, it's too soon, but in fact it was healing and helpful."" He hopes Jackson's fans will feel the same way.","""This Is It,"""
NEWS_0521_Q3,NEWS_0521,What year is the Bureau of Labor Statistics report?,"Editor's note: CNN.com has a business partnership with CareerBuilder.com, which serves as the exclusive provider of job listings and services to CNN.com. With money a bit tight these days, many people searching for jobs would like a salary of $80,000 a year. (CareerBuilder.com) -- Let's be honest: Sometimes you don't care about the job -- you just care about the salary. But it's awfully hard to look for a job that fits both your salary requirements and your skill set. Not to mention that we always tell you that your work and career should be something you love. Ideally, money is just an added benefit. That being said, we're also realists. We know that times are tough and at this point, some people just need to get paid. We went to the Bureau of Labor Statistics to look at the latest (May 2008) salary information for the United States and found 30 occupations pay in the $80,000 range based on national averages. 1. Administrative law judges, adjudicators and hearing officers Do this: Conduct hearings to rule on government-related claims; determine penalties and liability; and help to craft settlements. Get paid: $80,870 2. Biomedical engineers Do this: Design and develop devices and procedures to help solve health-related problems. Projects might include information systems, artificial organs or artificial limbs. Get paid: $81,120 3. Chiropractors Do this: Diagnose and treat musculoskeletal conditions of the spinal column to prevent disease and alleviate imbalance, pain and pressure believed to be caused by interference with nervous system. Get paid: $81,340 4. Atmospheric, earth, marine and space sciences teachers, post-secondary Do this: Teach courses and research topics in the physical sciences, except chemistry and physics. Get paid: $81,470 5. Agents and business managers of artists, performers and athletes Do this: Represent and promote their client's business while handling business matters and contract negotiations. Get paid: $81,550 6. Materials scientists Do this: Study the chemical composition of various materials and figure out ways to develop new materials and improve existing ones; also determine ways to use materials in products. Get paid: $81,600 7. Physician assistants Do this: Perform health-care services and provide treatment plans under a physician's supervision. Get paid: $81,610 8. Medical scientists, except epidemiologists Do this: Research and investigate human diseases and how to improve human health. Get paid: $81,870 9. Physics teachers, post-secondary Do this: Teach courses and research topics pertaining to the laws of matter and energy. Get paid: $81,880 10. Atmospheric and space scientists Do this: Study the effects the atmosphere has on the environment, most commonly through weather forecasting. Get paid: $82,080 11. Management analysts Do this: Figure out best practices of management by conducting studies and procedures to help companies figure out how to operate more effectively. Get paid: $82,920 12. Producers and directors Do this: Produce or direct, and make all creative decisions for stage, television, radio, video or motion picture productions. Get paid: $83,030 13. Biological science teachers, post-secondary Do this: Teach courses and research topics in biological sciences. Get paid: $83,270 14. Materials engineers Do this: Develop new uses for recognized materials, and develop new machinery and processes to make materials for use in specialized products. Get paid: $84,200 15. Transportation, storage and distribution managers Do this: Oversee transportation, storage or distribution activities in accordance with governmental policies and regulations. Get paid: $84,520 16. Financial analysts Do this: Assess the financial situations of an individual or organization. Get paid: $84,780 17. Electrical engineers Do this: Design, develop and test the manufacturing and installation of electrical equipment. Get paid: $85,350 18. Education administrators, elementary and secondary school Do this: Oversee all activities of public or private elementary or secondary schools. Get paid: $86,060 19. Industrial-organizational psychologists",(May 2008)
